time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
       1,        1,        1,
       1,        2,        1,
       1,        3,       10,
       1,        4,        8,
       1,        5,       10,
       1,        6,       10,
       1,        7,       10,
       1,        8,       10,
       1,        9,       10,
       1,       10,       10,
       1,       11,        6,
       1,       12,        2,
       2,        1,        1,
       2,        2,        1,
       2,        3,       10,
       2,        4,       10,
       3,        1,        1,
       3,        2,        1,
       3,        3,       10,
       3,        4,        5,
       4,        1,        1,
       4,        2,        1,
       4,        3,       10,
       4,        4,        2,
       5,        1,        1,
       5,        2,        1,
       5,        3,       10,
       5,        4,        2,
       6,        1,        1,
       6,        2,        1,
       6,        3,       10,
       6,        4,        6,
       7,        1,        1,
       7,        2,        1,
       7,        3,       10,
       7,        4,        2,
       8,        1,        1,
       8,        2,        1,
       8,        3,       10,
       8,        4,        2,
       9,        1,        1,
       9,        2,        1,
       9,        3,       10,
       9,        4,        2,
      10,        1,        1,
      10,        2,        1,
      10,        3,       10,
      10,        4,        2,
      11,        1,        1,
      11,        2,        1,
      11,        3,       10,
      11,        4,        2,
      12,        1,        1,
      12,        2,        1,
      12,        3,       10,
      12,        4,        2,
      13,        1,        1,
      13,        2,        1,
      13,        3,       10,
      14,        1,        1,
      14,        2,        1,
      14,        3,       10,
      15,        1,        1,
      15,        2,        1,
      15,        3,       10,
      15,        4,        2,
      16,        1,        1,
      16,        2,        1,
      16,        3,       10,
      17,        1,        1,
      17,        2,        1,
      17,        3,       10,
      18,        1,        1,
      18,        2,        1,
      18,        3,       10,
      18,        4,        2,
      19,        1,        1,
      19,        2,        1,
      19,        3,       10,
      19,        4,        2,
      20,        1,        1,
      20,        2,        1,
      20,        3,       10,
      20,        4,        2,
      21,        1,        1,
      21,        2,        1,
      21,        3,       10,
      22,        1,        1,
      22,        2,        1,
      22,        3,       10,
      23,        1,        1,
      23,        2,        1,
      23,        3,       10,
      24,        1,        1,
      24,        2,        1,
      24,        3,       10,
      25,        1,        1,
      25,        2,        1,
      25,        3,       10,
      26,        1,        1,
      26,        2,        1,
      26,        3,       10,
      27,        1,        1,
      27,        2,        1,
      27,        3,       10,
      28,        1,        1,
      28,        2,        1,
      28,        3,       10,
      29,        1,        1,
      29,        2,        1,
      29,        3,       10,
      30,        1,        1,
      30,        2,        1,
      30,        3,       10,
      31,        1,        1,
      31,        2,        1,
      31,        3,       10,
      32,        1,        1,
      32,        2,        1,
      32,        3,       10,
      33,        1,        1,
      33,        2,        1,
      33,        3,        7,
      34,        1,        1,
      34,        2,        1,
      34,        3,       10,
      35,        1,        1,
      35,        2,        1,
      35,        3,       10,
      36,        1,        1,
      36,        2,        1,
      36,        3,       10,
      37,        1,        1,
      37,        2,        1,
      37,        3,       10,
      38,        1,        1,
      38,        2,        1,
      38,        3,       10,
      39,        1,        1,
      39,        2,        1,
      39,        3,        4,
      40,        1,        1,
      40,        2,        1,
      40,        3,        4,
      41,        1,        1,
      41,        2,        1,
      41,        3,        4,
      42,        1,        1,
      42,        2,        1,
      42,        3,       10,
      43,        1,        1,
      43,        2,        1,
      43,        3,        4,
      44,        1,        1,
      44,        2,        1,
      44,        3,       10,
      45,        1,        1,
      45,        2,        1,
      45,        3,       10,
      46,        1,        1,
      46,        2,        1,
      46,        3,        4,
      47,        1,        1,
      47,        2,        1,
      47,        3,       10,
      48,        1,        1,
      48,        2,        1,
      48,        3,       10,
      49,        1,        1,
      49,        2,        1,
      49,        3,       10,
      50,        1,        1,
      50,        2,        1,
      50,        3,       10,
      51,        1,        1,
      51,        2,        1,
