time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
       1,        1,        1,
       1,        2,        1,
       1,        3,       10,
       1,        4,       10,
       1,        5,       10,
       1,        6,       10,
       1,        7,       10,
       1,        8,       10,
       1,        9,       10,
       1,       10,       10,
       2,        1,        1,
       2,        2,        1,
       2,        3,        5,
       2,        4,        4,
       2,        5,        2,
       2,        6,        2,
       2,        7,        1,
       3,        1,        1,
       3,        2,        1,
       3,        3,        5,
       3,        4,        1,
       4,        1,        1,
       4,        2,        1,
       4,        3,        5,
       4,        4,        1,
       5,        1,        1,
       5,        2,        1,
       5,        3,       10,
       5,        4,        1,
       6,        1,        1,
       6,        2,        1,
       6,        3,        8,
       6,        4,        2,
       7,        1,        1,
       7,        2,        1,
       7,        3,        3,
       7,        4,        1,
       7,        5,        1,
       8,        1,        1,
       8,        2,        1,
       8,        3,        6,
       9,        1,        1,
       9,        2,        1,
       9,        3,        4,
       9,        4,        1,
      10,        1,        1,
      10,        2,        1,
      10,        3,        3,
      10,        4,        1,
      11,        1,        1,
      11,        2,        1,
      11,        3,        3,
      11,        4,        1,
      12,        1,        1,
      12,        2,        1,
      12,        3,        3,
      12,        4,        2,
      13,        1,        1,
      13,        2,        1,
      13,        3,        3,
      14,        1,        1,
      14,        2,        1,
      14,        3,        6,
      15,        1,        1,
      15,        2,        1,
      15,        3,        3,
      15,        4,        2,
      15,        5,        1,
      16,        1,        1,
      16,        2,        1,
      16,        3,        3,
      16,        4,        2,
      17,        1,        1,
      17,        2,        1,
      17,        3,        3,
      17,        4,        2,
      18,        1,        1,
      18,        2,        1,
      18,        3,        3,
      18,        4,        1,
      19,        1,        1,
      19,        2,        1,
      19,        3,        3,
      19,        4,        2,
      20,        1,        1,
      20,        2,        1,
      20,        3,        3,
      20,        4,        1,
      20,        5,        1,
      21,        1,        1,
      21,        2,        1,
      21,        3,        4,
      21,        4,        1,
      22,        1,        1,
      22,        2,        1,
      22,        3,        3,
      22,        4,        1,
      22,        5,        1,
      23,        1,        1,
      23,        2,        1,
      23,        3,        5,
      24,        1,        1,
      24,        2,        1,
      24,        3,        4,
      24,        4,        1,
      25,        1,        1,
      25,        2,        1,
      25,        3,        3,
      25,        4,        2,
      25,        5,        1,
      26,        1,        1,
      26,        2,        1,
      26,        3,        5,
      26,        4,        1,
      27,        1,        1,
      27,        2,        1,
      27,        3,        4,
      27,        4,        1,
      28,        1,        1,
      28,        2,        1,
      28,        3,        3,
      28,        4,        2,
      29,        1,        1,
      29,        2,        1,
      29,        3,        4,
      29,        4,        1,
      30,        1,        1,
      30,        2,        1,
      30,        3,        4,
      30,        4,        1,
      31,        1,        1,
      31,        2,        1,
      31,        3,        5,
      32,        1,        1,
      32,        2,        1,
      32,        3,        5,
      33,        1,        1,
      33,        2,        1,
      33,        3,        6,
      34,        1,        1,
      34,        2,        1,
      34,        3,        4,
      34,        4,        1,
      35,        1,        1,
      35,        2,        1,
      35,        3,        4,
      35,        4,        1,
      36,        1,        1,
      36,        2,        1,
      36,        3,        5,
      37,        1,        1,
      37,        2,        1,
      37,        3,        4,
      37,        4,        1,
      38,        1,        1,
      38,        2,        1,
      38,        3,        5,
      38,        4,        1,
      38,        5,        1,
      39,        1,        1,
      39,        2,        1,
      39,        3,        7,
      40,        1,        1,
      40,        2,        1,
      40,        3,        5,
      40,        4,        1,
      41,        1,        1,
      41,        2,        1,
      41,        3,        5,
      41,        4,        1,
      42,        1,        1,
      42,        2,        1,
      42,        3,        5,
      43,        1,        1,
      43,        2,        1,
      43,        3,        6,
